university,course_name,gross_tuition_fee,cost_of_living,earliest_intake,program_duration,program_type,application_deadline
Husson University,Nursing/Healthcare Management,10368,12682,Aug-24,2,Bachelors Degree,May-24
Lewis University - Chicago,Nursing/Healthcare Management,14760,12345,Aug-24,2,Bachelors Degree,May-24
Webster University (WU) - St. Louis,Nursing/Healthcare Management,16800,13000,Aug-24,2,Bachelors Degree,May-24
University of Bridgeport,Nursing/Healthcare Management,15660,10000,Aug-24,2,Bachelors Degree,May-24
Madonna University - Livonia,Nursing/Healthcare Management,14025,19260,Aug-24,2,Bachelors Degree,May-24
Concordia University Chicago,Nursing/Healthcare Management,12798,20880,Aug-24,2,Bachelors Degree,May-24
Adelphi University,Nursing/Healthcare Management,27450,21000,Aug-24,2,Masters Degree,May-24
Nazareth University,Biology,15570,15770,Aug-24,2,Masters Degree,May-24
Roosevelt University,Biology,22764,12000,Aug-24,2,Masters Degree,May-24
Lewis University - Chicago,Biology,15210,12345,Aug-24,2,Masters Degree,May-24
Long Island University - Post,Biology,25017,18378,Aug-24,2,Masters Degree,May-24
Arizona State University,Biology,37044,14718,Aug-24,2,Masters Degree,May-24
Adelphi University,Biology,30370,21000,Aug-24,2,Masters Degree,May-24
Lewis University - Chicago,Aviation/Aerospace,15210,12345,Aug-24,2,Masters Degree,May-24
Auburn University,Aviation/Aerospace,36800,11800,Aug-24,2,Masters Degree,May-24
University of South Carolina,Aviation/Aerospace,29760,18880,Aug-24,2,Masters Degree,May-24
Arizona State University,Aviation/Aerospace,28692,14718,Aug-24,2,Masters Degree,May-24
University of Dayton,Aviation/Aerospace,22200,20305,Aug-24,2,Masters Degree,May-24
Auburn University,Mechanical Engineering,36800,11800,Aug-24,2,Masters Degree,May-24
Merrimack College,Mechanical Engineering,32896,18974,Aug-24,2,Masters Degree,May-24
University of South Carolina,Mechanical Engineering,32196,18880,Aug-24,2,Masters Degree,May-24
University of the Pacific - Stockton,Mechanical Engineering,30027,16207,Aug-24,2,Masters Degree,May-24
Wilkes University,Mechanical Engineering,18000,15410,Aug-24,2,Masters Degree,May-24
Arizona State University,Mechanical Engineering,37044,14718,Aug-24,2,Masters Degree,May-24
University of Hartford,Mechanical Engineering,17316,17208,Aug-24,2,Masters Degree,May-24
University of Dayton,Mechanical Engineering,22700,20305,Aug-24,2,Masters Degree,May-24
University of Bridgeport,Mechanical Engineering,14040,10000,Aug-24,2,Masters Degree,May-24
Florida Atlantic University,Mechanical Engineering,19037,14840,Aug-24,2,Masters Degree,May-24
University of South Carolina,Electrical Engineering,29760,18880,Aug-24,2,Masters Degree,May-24
University of the Pacific - Stockton,Electrical Engineering,29760,16207,Aug-24,2,Masters Degree,May-24
Wilkes University,Electrical Engineering,18000,15410,Aug-24,2,Masters Degree,May-24
Arizona State University,Electrical Engineering,28692,14718,Aug-24,2,Masters Degree,May-24
Lewis University - Chicago,Electrical Engineering,15210,12345,Aug-24,2,Masters Degree,May-24
Atlantis University,Electrical Engineering,16146,20000,Aug-24,2,Masters Degree,May-24
University of Hartford,Electrical Engineering,17208,17208,Aug-24,2,Masters Degree,May-24
University of Dayton,Electrical Engineering,22200,20305,Aug-24,2,Masters Degree,May-24
University of Bridgeport,Electrical Engineering,14040,10000,Aug-24,2,Masters Degree,May-24
Florida Atlantic University,Electrical Engineering,19037,14840,Aug-24,2,Masters Degree,May-24
Arizona State University,Computer Engineering,37044,14718,Aug-24,2,Masters Degree,May-24
Lewis University - Chicago,Computer Engineering,15210,12345,Aug-24,2,Masters Degree,May-24
Atlantis University,Computer Engineering,16146,20000,Aug-24,2,Masters Degree,May-24
University of Hartford,Computer Engineering,17208,17208,Aug-24,2,Masters Degree,May-24
University of Dayton,Computer Engineering,22200,20305,Aug-24,2,Masters Degree,May-24
University of Bridgeport,Computer Engineering,14040,10000,Aug-24,2,Masters Degree,May-24
Florida Atlantic University,Computer Engineering,19037,14840,Aug-24,2,Masters Degree,May-24
Webster University (WU) - St. Louis,Artificial Intelligence,17520,13000,Feb-25,2,Masters Degree,Nov-24
New Jersey Institute of Technology,Artificial Intelligence,35262,19320,Jan-25,2,Masters Degree,Oct-24
Worcester Polytechnic Institute,Artificial Intelligence,24150,21600,Dec-24,2,Masters Degree,Sep-24
Bay Atlantic University,Artificial Intelligence,22230,26640,Nov-24,2,Masters Degree,Aug-24
University of Bridgeport,Artificial Intelligence,22060,18600,Nov-24,2,Masters Degree,Aug-24
Saint Louis University,Artificial Intelligence,21000,13600,Oct-24,2,Masters Degree,Jul-24
Yeshiva University,Artificial Intelligence,20910,22200,Sep-24,2,Masters Degree,Jun-24
University of St. Thomas,Artificial Intelligence,15412,16200,Aug-24,2,Masters Degree,May-24
